tag,release_datetime
v1.0.0-beta,2024-12-10T10:27:03
v1.0.1-beta,2025-01-14T10:51:11
v1.0.2-beta,2025-01-21T10:26:39
v1.0.3-beta,2025-01-28T10:23:16
v1.0.4-beta,2025-02-11T10:25:00
v1.0.5-beta,2025-02-18T10:30:43
v1.0.6-beta,2025-03-04T10:29:25
v1.0.7-beta,2025-03-11T10:37:55
v1.0.8-beta,2025-03-18T10:10:45
v1.0.9-beta,2025-03-25T10:25:47
v1.0.10-beta,2025-04-01T09:16:46
v1.0.11-beta,2025-04-08T09:25:56
v1.0.12-beta,2025-04-15T09:17:03
v1.0.13-beta,2025-04-29T09:22:29
v1.0.15-beta,2025-05-13T09:19:47
v1.0.16-beta,2025-05-20T09:05:37
v1.0.17-beta,2025-06-03T09:29:16
v1.0.18-beta,2025-06-10T09:29:09
v1.0.20-beta,2025-07-08T09:19:42
v1.0.21-beta,2025-07-16T09:08:38
v1.0.22-beta,2025-07-22T09:38:29
v1.0.23-beta,2025-07-29T09:14:41
v1.0.24-beta,2025-08-05T09:07:09
v1.0.25-beta,2025-08-14T09:22:11
v1.0.26-beta,2025-08-19T09:16:05
v1.0.27-beta,2025-09-02T09:09:37
v1.0.28-beta,2025-09-09T09:05:08
v1.0.29-beta,2025-09-16T09:12:47
v1.0.30-beta,2025-09-23T09:38:35
v1.0.31-beta,2025-10-07T09:11:27
v1.0.32-beta,2025-10-14T09:17:39
v1.0.33-beta,2025-10-21T14:16:38
v1.0.34-beta,2025-10-28T11:09:10
v1.0.35-beta,2025-11-04T11:19:57
v1.0.36-beta,2025-11-11T10:22:40
v1.0.37-beta,2025-11-18T10:55:55
v1.0.38-beta,2025-11-25T10:10:28
v1.0.39-beta,2025-12-02T10:16:38
v1.0.40-beta,2025-12-09T10:25:23
v1.0.41-beta,2025-12-16T10:20:38
v1.0.42-beta,2026-01-13T10:05:29
v1.0.43-beta,2026-01-20T10:19:18
v1.0.44-beta,2026-01-27T10:18:03
v1.0.45-beta,2026-02-03T10:28:41
v1.0.46-beta,2026-02-11T10:47:34
v1.0.49-beta,2026-02-17T11:46:47
v1.0.50-beta,2026-02-24T10:26:04
v1.0.52-beta,2026-03-03T10:11:12
v1.0.53-beta,2026-03-10T10:26:38
v1.0.57-beta,2026-04-21T09:12:14
v1.0.58-beta,2026-04-28T10:14:31
