tag,release_datetime
v1.0.0-beta,2024-12-05T10:42:23
v1.0.1-beta,2025-01-08T15:13:53
v1.0.2-beta,2025-01-16T09:51:06
v1.0.3-beta,2025-01-23T11:45:25
v1.0.4-beta,2025-02-07T10:03:58
v1.0.5-beta,2025-02-13T09:53:31
v1.0.6-beta,2025-02-26T13:19:44
v1.0.7-beta,2025-03-06T08:52:52
v1.0.8-beta,2025-03-13T09:06:30
v1.0.9-beta,2025-03-20T08:51:13
v1.0.10-beta,2025-03-27T11:33:27
v1.0.11-beta,2025-04-03T09:45:43
v1.0.12-beta,2025-04-11T08:16:39
v1.0.13-beta,2025-04-24T10:41:48
v1.0.14-beta,2025-05-01T08:04:02
v1.0.15-beta,2025-05-08T10:15:51
v1.0.16-beta,2025-05-15T15:27:31
v1.0.17-beta,2025-05-29T09:34:13
v1.0.18-beta,2025-06-09T11:18:12
v1.0.19-beta,2025-06-13T09:28:28
v1.0.20-beta,2025-07-07T12:45:40
v1.0.21-beta,2025-07-14T08:08:12
v1.0.22-beta,2025-07-17T08:32:29
v1.0.23-beta,2025-07-23T14:58:01
v1.0.24-beta,2025-07-31T09:56:21
v1.0.25-beta,2025-08-08T11:04:36
v1.0.26-beta,2025-08-13T22:41:47
v1.0.27-beta,2025-08-27T11:27:37
v1.0.28-beta,2025-09-03T12:17:38
v1.0.29-beta,2025-09-11T11:41:44
v1.0.30-beta,2025-09-17T11:59:54
v1.0.31-beta,2025-10-01T11:54:29
v1.0.32-beta,2025-10-08T11:53:17
v1.0.33-beta,2025-10-16T14:10:12
v1.0.34-beta,2025-10-23T10:07:12
v1.0.35-beta,2025-10-29T14:08:39
v1.0.36-beta,2025-11-05T12:49:51
v1.0.37-beta,2025-11-13T10:04:01
v1.0.38-beta,2025-11-20T10:32:51
v1.0.39-beta,2025-11-26T11:39:25
v1.0.40-beta,2025-12-03T14:28:34
v1.0.41-beta,2025-12-10T12:47:58
v1.0.42-beta,2026-01-07T14:36:56
v1.0.43-beta,2026-01-14T14:40:30
v1.0.44-beta,2026-01-21T11:07:58
v1.0.45-beta,2026-01-28T16:47:01
v1.0.46-beta,2026-02-04T16:28:58
v1.0.49-beta,2026-02-11T13:37:58
v1.0.50-beta,2026-02-19T08:27:31
v1.0.55-beta,2026-03-26T11:22:15
v1.0.56-beta,2026-03-30T10:26:33
v1.0.57-beta,2026-04-13T16:22:54
v1.0.58-beta,2026-04-28T10:13:25
